סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
407,דברת,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,554,554,523,-,אשכול רשויות הגליל והעמקים    
62,דגניה א',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,524,523,519,1,אשכול רשויות הכנרת והעמקים    
79,דגניה ב',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,689,689,678,-,אשכול רשויות הכנרת והעמקים    
1067,"דוב""ב",הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מרום הגליל,אזור אילון,478,474,470,4,אשכול רשויות גליל מזרחי       
3747,דולב,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,569","1,569","1,569",-,אשכול יהודה ושומרון           
738,דור,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,450,450,445,-,
336,דורות,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,870,869,841,1,אשכול רשויות נגב מערבי        
475,דחי,הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,בוסתן אל-מרג',עמק יזרעאל,712,-,-,712,אשכול רשויות הגליל והעמקים    
490,דייר אל-אסד,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור כרמיאל,"12,934",6,5,"12,928",אשכול רשויות בית הכרם הגלילי  
492,דייר חנא,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"10,599",15,1,"10,584",
493,דייר ראפאת,ירושלים,ירושלים,יישובים מוסדיים לא יהודיים,מטה יהודה,שפלת יהודה,99,1,-,98,
2200,דימונה,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,הר הנגב הצפוני,"35,893","35,633","32,201",260,אשכול רשויות נגב מזרחי        
2063,דישון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,גליל עליון מזרחי,336,336,328,-,אשכול רשויות גליל מזרחי       
300,דלייה,הצפון,יזרעאל,קיבוצים,מגידו,רמת מנשה,843,843,784,-,אשכול רשויות הגליל והעמקים    
431,דלתון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,870,870,870,-,אשכול רשויות גליל מזרחי       
1317,דמיידה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור שפרעם,548,-,-,548,אשכול רשויות בית הכרם הגלילי  
303,דן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,781,780,760,1,אשכול רשויות גליל מזרחי       
302,דפנה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,025","1,025","1,012",-,אשכול רשויות גליל מזרחי       
1241,דקל,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,380,376,366,4,אשכול רשויות נגב מערבי        
1349,דריג'את,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,אל קסום,אזור באר שבע,"1,308",3,-,"1,305",אשכול רשויות נגב מזרחי        
702,האון,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,183,183,167,-,אשכול רשויות הכנרת והעמקים    
675,הבונים,חיפה,חדרה,מושבים שיתופיים,חוף הכרמל,חוף הכרמל,386,386,381,-,
356,הגושרים,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,009","1,009",963,-,אשכול רשויות גליל מזרחי       
191,הדר עם,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,696,696,691,-,
9700,הוד השרון,המרכז,פתח תקווה,יישובים יהודיים 99999-50000 תושבים,עירייה,דרום השרון,"65,363","65,328","63,847",35,אשכול רשויות השרון            
1322,הודיות,הצפון,כנרת,יישובים מוסדיים יהודיים,הגליל התחתון,גליל תחתון מזרחי,303,303,175,-,אשכול רשויות הכנרת והעמקים    
726,הודייה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,616,615,598,1,אשכול רשויות נגב מערבי        
1186,הושעיה,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,עמק יזרעאל,הרי נצרת-תירען,"2,092","2,092","2,092",-,אשכול רשויות הגליל והעמקים    
250,הזורע,הצפון,יזרעאל,קיבוצים,מגידו,אזור יקנעם,932,932,884,-,אשכול רשויות הגליל והעמקים    
307,הזורעים,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,"1,108","1,108","1,106",-,אשכול רשויות הכנרת והעמקים    
434,החותרים,חיפה,חדרה,קיבוצים,חוף הכרמל,חוף הכרמל,914,913,895,1,
684,היוגב,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,790,790,781,-,אשכול רשויות הגליל והעמקים    
1208,הילה,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור יחיעם,562,560,543,2,אשכול רשויות גליל מערבי       
377,המעפיל,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,870,870,865,-,
1751,המרכז למחקר-נחל שורק,המרכז,רחובות,מוקד תעסוקה,,אזור ראשון לציון,-,-,-,-,
677,הסוללים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,989,986,963,3,אשכול רשויות הגליל והעמקים    
423,העוגן,המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,952,952,922,-,
3769,הר אדר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"4,107","4,100","3,986",7,אשכול יהודה ושומרון           
3603,הר גילה,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,647","1,627","1,588",20,
1261,הר עמשא,הדרום,באר שבע,קיבוצים,תמר,אזור באר שבע,240,235,203,5,
464,הראל,ירושלים,ירושלים,קיבוצים,מטה יהודה,שפלת יהודה,269,269,255,-,
1249,הרדוף,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,"1,117","1,113","1,060",4,אשכול רשויות הגליל והעמקים    
6400,הרצלייה,תל אביב,תל אביב,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור תל אביב,"103,320","103,107","98,074",213,
1203,הררית,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,640,640,620,-,אשכול רשויות בית הכרם הגלילי  
3639,ורד יריחו,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,מגילות ים המלח,,364,364,354,-,אשכול יהודה ושומרון           
1133,ורדון,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,יואב,אזור מלאכי,264,264,255,-,אשכול רשויות שורק דרומי       
815,זבדיאל,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,616,616,616,-,
44,זוהר,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,343,343,340,-,
584,זיקים,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,894,878,836,16,אשכול רשויות נגב מערבי        
788,זיתן,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,031","1,031","1,028",-,
9300,זכרון יעקב,חיפה,חדרה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור זכרון יעקב,"23,858","23,798","22,891",60,
799,זכריה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,145","1,141","1,112",4,
1290,זמר,המרכז,השרון,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,מזרח השרון,"7,360",7,1,"7,353",
1065,זמרת,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,684,683,682,1,אשכול רשויות נגב מערבי        
816,זנוח,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,539,524,515,15,
2064,זרועה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,503,502,500,1,אשכול רשויות נגב מערבי        
975,זרזיר,הצפון,יזרעאל,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"8,412",22,13,"8,390",אשכול רשויות הגליל והעמקים    
818,זרחיה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,755,755,755,-,
235,חבצלת השרון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,485,485,470,-,
1110,חבר,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,800,800,766,-,אשכול רשויות הגליל והעמקים    
717,חגור,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,152","1,152","1,133",-,אשכול רשויות השרון            
3764,חגי,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,701,701,701,-,אשכול יהודה ושומרון           
205,חגלה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,868,868,863,-,
618,חדיד,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,913,913,908,-,
4026,חד-נס,הצפון,גולן,יישובים קהילתיים,גולן,גולן תיכוני,876,876,819,-,אשכול רשויות גליל מזרחי       
6500,חדרה,חיפה,חדרה,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור חדרה,"100,630","99,688","92,046",942,
1321,ח'ואלד,חיפה,חיפה,יישובים כפריים אחרים לא יהודיים,זבולון,אזור חיפה,729,-,-,729,אשכול רשויות המפרץ            
160,חולדה,המרכז,רמלה,קיבוצים,גזר,אזור רמלה,"1,169","1,169","1,157",-,
6600,חולון,תל אביב,,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור חולון,"197,464","197,132","180,098",332,
1239,חולית,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,203,202,195,1,אשכול רשויות נגב מערבי        
253,חולתה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,719,718,701,1,אשכול רשויות גליל מזרחי       
662,חוסן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,"1,199","1,196","1,140",3,אשכול רשויות גליל מערבי       
1332,חוסנייה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור כרמיאל,823,6,-,817,אשכול רשויות בית הכרם הגלילי  
115,חופית,המרכז,השרון,יישובים כפריים אחרים יהודיים,עמק חפר,מערב השרון,824,824,815,-,
374,חוקוק,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,628,621,586,7,אשכול רשויות הכנרת והעמקים    
1303,חורה,הדרום,באר שבע,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,אזור באר שבע,"23,942",29,15,"23,913",אשכול רשויות נגב מזרחי        
496,חורפיש,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור אילון,"6,581",1,-,"6,580",אשכול רשויות גליל מערבי       
355,חורשים,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,350,343,332,7,אשכול רשויות השרון            
1047,חזון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,290,290,290,-,אשכול רשויות גליל מזרחי       
219,חיבת ציון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,844,844,838,-,
3643,חיננית,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,"1,512","1,511","1,348",1,אשכול יהודה ושומרון           
4000,חיפה,חיפה,חיפה,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור חיפה,"282,831","248,388","211,847","34,443",
162,חירות,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,"1,260","1,254","1,247",6,אשכול רשויות השרון            
1272,חלוץ,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,537,536,522,1,אשכול רשויות בית הכרם הגלילי  
820,חלץ,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,486,482,478,4,אשכול רשויות נגב מערבי        
801,"חמ""ד",המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,355","1,355","1,351",-,
993,חמאם,הצפון,כנרת,יישובים כפריים אחרים לא יהודיים,אל-בטוף,כנרות,"1,561",2,2,"1,559",אשכול רשויות הכנרת והעמקים    
343,חמדיה,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,420,417,404,3,אשכול רשויות הכנרת והעמקים    
3646,חמדת,יהודה והשומרון,,יישובים קהילתיים,ערבות הירדן,,343,343,343,-,אשכול יהודה ושומרון           
3609,חמרה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,273,273,266,-,אשכול יהודה ושומרון           
807,חניאל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,903,903,880,-,
280,חניתה,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,744,743,712,1,אשכול רשויות גליל מערבי       
1257,חנתון,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,"1,008","1,007",991,1,אשכול רשויות הגליל והעמקים    
4005,חספין,הצפון,גולן,יישובים יהודיים 4999-2000 תושבים,גולן,גולן דרומי,"2,071","2,071","2,069",-,אשכול רשויות גליל מזרחי       
363,חפץ חיים,המרכז,רחובות,קיבוצים,נחל שורק,אזור רחובות,586,586,586,-,אשכול רשויות שורק דרומי       
90,חפצי-בה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,757,755,732,2,אשכול רשויות הגליל והעמקים    
700,חצב,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,517","1,516","1,488",1,אשכול רשויות שורק דרומי       
13,חצבה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,הערבה התיכונה,הערבה,694,684,646,10,אשכול רשויות נגב מזרחי        
2034,חצור הגלילית,הצפון,צפת,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור חצור,"9,763","9,717","9,488",46,אשכול רשויות גליל מזרחי       
406,חצור-אשדוד,הדרום,אשקלון,קיבוצים,באר טוביה,אזור מלאכי,673,673,651,-,אשכול רשויות שורק דרומי       
397,חצרים,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,857,857,837,-,אשכול רשויות נגב מערבי        
422,חרב לאת,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,933,933,915,-,
1024,חרוצים,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,907,907,886,-,
1247,חריש,חיפה,חדרה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,הר אלכסנדר,"27,007","26,612","24,461",395,
3717,חרמש,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,236,236,216,-,אשכול יהודה ושומרון           
1209,חרשים,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,377,377,357,-,אשכול רשויות בית הכרם הגלילי  
3770,חשמונאים,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,646","2,646","2,641",-,אשכול יהודה ושומרון           
6700,טבריה,הצפון,כנרת,יישובים יהודיים 49999-20000 תושבים,עירייה,כנרות,"46,698","45,981","43,179",717,אשכול רשויות הכנרת והעמקים    
962,טובא-זנגרייה,הצפון,צפת,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור חצור,"7,011",8,5,"7,003",אשכול רשויות גליל מזרחי       
498,טורעאן,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"14,655",5,3,"14,650",אשכול רשויות הכנרת והעמקים    
2730,טייבה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"45,387",56,28,"45,331",אשכול רשויות השרון            
497,טייבה (בעמק),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,965",5,5,"1,960",אשכול רשויות הגליל והעמקים    
2720,טירה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"27,392",74,27,"27,318",אשכול רשויות השרון            
663,טירת יהודה,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,"1,210","1,210","1,209",-,
2100,טירת כרמל,חיפה,חיפה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור חיפה,"26,806","26,630","24,804",176,אשכול רשויות המפרץ            
268,טירת צבי,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,975,975,975,-,אשכול רשויות הכנרת והעמקים    
462,טל שחר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,375","1,375","1,346",-,
1181,טל-אל,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,"1,216","1,216","1,174",-,אשכול רשויות בית הכרם הגלילי  
1177,טללים,הדרום,באר שבע,קיבוצים,רמת נגב,הר הנגב הצפוני,591,591,566,-,אשכול רשויות נגב מזרחי        
3788,טלמון,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"5,141","5,141","5,140",-,אשכול יהודה ושומרון           
8900,טמרה,הצפון,עכו,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור שפרעם,"35,406",38,12,"35,368",אשכול רשויות המפרץ            
547,טמרה (יזרעאל),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,656",1,-,"1,655",אשכול רשויות הגליל והעמקים    
3743,טנא,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,964,964,949,-,אשכול יהודה ושומרון           
1214,טפחות,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,521,521,521,-,אשכול רשויות גליל מזרחי       
1295,יאנוח-ג'ת,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור יחיעם,"6,851",1,1,"6,850",
1232,יבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,352,352,350,-,אשכול רשויות נגב מערבי        
46,יבנאל,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"4,447","4,445","4,384",2,אשכול רשויות הכנרת והעמקים    
2660,יבנה,המרכז,רחובות,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור רחובות,"53,595","53,522","51,824",73,
96,יגור,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,"1,654","1,654","1,558",-,אשכול רשויות המפרץ            
798,יגל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,919,919,917,-,
577,יד בנימין,המרכז,רחובות,יישובים יהודיים 4999-2000 תושבים,נחל שורק,אזור רחובות,"4,271","4,271","4,269",-,אשכול רשויות שורק דרומי       
1134,יד השמונה,ירושלים,ירושלים,מושבים שיתופיים,מטה יהודה,הרי יהודה,294,294,130,-,
758,יד חנה,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,985,984,968,1,
358,יד מרדכי,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,792,788,759,4,אשכול רשויות נגב מערבי        
775,יד נתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,637,635,627,2,
64,"יד רמב""ם",המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,"1,139","1,139","1,120",-,
1144,ידידה,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,224,223,217,1,
9400,יהוד-מונוסון,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"30,618","30,579","29,949",39,
1158,יהל,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,232,232,210,-,אשכול רשויות נגב מזרחי        
2009,יובל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,644,642,637,2,אשכול רשויות גליל מזרחי       
1226,יובלים,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,102","1,102","1,088",-,אשכול רשויות בית הכרם הגלילי  
1112,יודפת,הצפון,עכו,מושבים שיתופיים,משגב,אזור שפרעם,910,909,871,1,אשכול רשויות בית הכרם הגלילי  
4007,יונתן,הצפון,גולן,מושבים שיתופיים,גולן,גולן תיכוני,802,802,802,-,אשכול רשויות גליל מזרחי       
803,יושיביה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,733,732,731,1,אשכול רשויות נגב מערבי        
452,יזרעאל,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק יזרעאל,535,535,513,-,אשכול רשויות הגליל והעמקים    
409,יחיעם,הצפון,עכו,קיבוצים,מטה אשר,אזור יחיעם,722,722,705,-,אשכול רשויות גליל מערבי       
866,יטבתה,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,735,735,714,-,אשכול רשויות נגב מזרחי        
3607,"ייט""ב",יהודה והשומרון,,מושבים שיתופיים,ערבות הירדן,,296,292,259,4,אשכול יהודה ושומרון           
811,יכיני,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שער הנגב,אזור אשקלון,724,723,720,1,אשכול רשויות נגב מערבי        
1772,ים המלח - בתי מלון,הדרום,באר שבע,מוקד תעסוקה,תמר,אזור ים המלח,-,-,-,-,
753,ינוב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,953,953,941,-,אשכול רשויות השרון            
2011,ינון,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,215","1,213","1,211",2,אשכול רשויות שורק דרומי       
29,יסוד המעלה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מועצה מקומית,עמק חולה,"1,804","1,804","1,769",-,אשכול רשויות גליל מזרחי       
440,יסודות,המרכז,רחובות,מושבים שיתופיים,נחל שורק,אזור רחובות,"1,016","1,016","1,016",-,אשכול רשויות שורק דרומי       
575,יסעור,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,893,888,872,5,אשכול רשויות גליל מערבי       
1138,יעד,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,משגב,אזור שפרעם,728,728,728,-,אשכול רשויות בית הכרם הגלילי  
1117,יעל,הצפון,יזרעאל,מקום,הגלבוע,עמק יזרעאל,-,-,-,-,אשכול רשויות הגליל והעמקים    
1044,יעף,המרכז,השרון,יישובים כפריים אחרים יהודיים,לב השרון,מערב השרון,315,315,314,-,אשכול רשויות השרון            
795,יערה,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,808,690,677,118,אשכול רשויות גליל מערבי       
499,יפיע,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"19,537",9,2,"19,528",אשכול רשויות הגליל והעמקים    
3566,יפית,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,221,221,211,-,אשכול יהודה ושומרון           
134,יפעת,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,"1,211","1,206","1,185",5,אשכול רשויות הגליל והעמקים    
453,יפתח,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,607,606,545,1,אשכול רשויות גליל מזרחי       
3749,יצהר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,020","2,020","2,020",-,אשכול יהודה ושומרון           
759,יציץ,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,826,826,807,-,
417,יקום,המרכז,השרון,קיבוצים,חוף השרון,מערב השרון,794,794,767,-,
3647,יקיר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,485","2,485","2,485",-,אשכול יהודה ושומרון           
241,יקנעם (מושבה),הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,אזור יקנעם,"1,375","1,375","1,346",-,אשכול רשויות הגליל והעמקים    
240,יקנעם עילית,הצפון,יזרעאל,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור יקנעם,"24,158","24,139","21,826",19,אשכול רשויות המפרץ            
623,יראון,הצפון,עכו,קיבוצים,הגליל העליון,אזור אילון,407,407,351,-,אשכול רשויות גליל מזרחי       
2026,ירדנה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק המעיינות,עמק בית שאן,370,370,370,-,אשכול רשויות הכנרת והעמקים    
831,ירוחם,הדרום,באר שבע,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,הר הנגב הצפוני,"11,031","10,679","9,910",352,אשכול רשויות נגב מזרחי        
3000,ירושלים,ירושלים,ירושלים,יישובים יהודיים 500000 תושבים ומעלה,עירייה,הרי יהודה,"966,209","590,569","576,592","375,640",
718,ירחיב,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,088","1,088","1,080",-,אשכול רשויות השרון            
502,ירכא,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור יחיעם,"17,574",55,48,"17,519",
183,ירקונה,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,357,357,353,-,אשכול רשויות השרון            
916,ישע,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,429,429,412,-,אשכול רשויות נגב מערבי        
805,ישעי,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,857,857,856,-,
828,ישרש,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,983,983,972,-,
1227,יתד,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,563,563,541,-,אשכול רשויות נגב מערבי        
504,כאבול,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"14,474",11,6,"14,463",
505,כאוכב אבו אל-היג'א,הצפון,עכו,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,אזור שפרעם,"3,723",4,1,"3,719",
576,כברי,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,098","1,091","1,067",7,אשכול רשויות גליל מערבי       
371,כדורי,הצפון,כנרת,יישובים מוסדיים יהודיים,הגליל התחתון,גליל תחתון מזרחי,215,186,121,29,אשכול רשויות הכנרת והעמקים    
1338,כדיתה,הצפון,צפת,יישובים קהילתיים,מרום הגליל,גליל עליון מזרחי,179,179,165,-,אשכול רשויות גליל מזרחי       
3564,כוכב השחר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,515","2,515","2,515",-,אשכול יהודה ושומרון           
1224,כוכב יאיר,המרכז,פתח תקווה,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,דרום השרון,"8,950","8,934","8,838",16,אשכול רשויות השרון            
3779,כוכב יעקב,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מטה בנימין,,"9,524","9,524","9,519",-,אשכול יהודה ושומרון           
824,כוכב מיכאל,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,"1,105","1,105","1,089",-,אשכול רשויות נגב מערבי        
